rank	lambda	iterator	rmse
22	0.57	4	1.188
21	0.37	6	0.742
7	0.72	4	1.3854
2	0.18	6	2.4846
1	0.31	3	3.0745
8	0.59	6	0.9729
2	0.63	4	2.5718
29	0.54	6	0.8781
22	0.52	4	1.033
13	0.42	3	1.3437
3	0.02	4	3.2386
7	0.15	4	1.4462
6	0.16	6	1.0628
9	0.83	5	1.2192
16	0.44	6	0.7134
12	0.32	6	0.8238
28	0.8	3	1.7305
7	0.67	3	1.7794
6	0.99	6	1.4817
23	0.9	4	1.4724
9	0.03	3	2.6421
29	0.5	5	0.8901
3	0.13	4	1.9952
26	0.74	3	1.6458
20	0.06	5	1.4506
29	0.68	4	1.2722
10	0.46	3	1.4476
24	0.17	5	0.9598
26	0.77	6	1.0812
28	0.84	4	1.4081
25	0.39	4	1.0091
1	0.78	5	2.6918
16	0.87	5	1.2855
1	0.54	3	3.3975
8	0.18	6	0.9377
24	0.86	5	1.2225
4	0.06	5	1.9009
26	0.14	6	0.89
23	0.43	3	1.25
5	0.35	5	1.5868
27	0.09	3	1.6665
28	0.49	4	1.0379
7	0.54	6	1.0261
2	0.91	6	1.8741
6	0.65	4	1.4401
12	0.29	3	1.3285
25	0.49	4	1.0652
24	0.6	5	0.9921
12	0.19	6	0.8274
14	0.72	6	1.0292
5	0.55	3	1.8946
22	0.41	3	1.3177
5	0.42	6	0.8835
22	0.32	4	1.1178
19	0.65	4	1.3217
24	0.92	6	1.1432
12	0.52	3	1.6605
2	0.54	4	1.9852
2	0.11	6	2.5668
21	0.8	6	1.0836
8	0.8	4	1.482
22	0.79	3	1.8489
25	0.74	5	1.1094
15	0.65	5	1.0211
21	0.43	6	0.8025
2	0.99	5	2.1839
10	0.32	4	1.1953
23	0.72	4	1.4053
20	0.54	5	0.9441
6	0.32	4	1.1702
7	0.33	4	1.2189
5	0.83	6	1.1192
8	0.35	4	1.1165
23	0.75	6	1.0106
8	0.97	4	1.6459
11	0.51	3	1.659
7	0.99	5	1.697
24	0.01	6	1.8811
14	0.46	6	0.7905
14	0.19	6	0.7724
1	0.29	6	2.7686
12	0.09	3	1.8145
15	0.33	5	0.7697
5	0.67	3	1.9113
14	0.43	3	1.4232
19	0.6	4	1.2874
11	0.5	4	1.1736
9	0.16	5	1.2359
5	0.32	5	1.2323
6	0.94	4	1.6317
13	0.96	6	1.2454
5	0.76	6	1.2361
2	0.16	4	2.2596
6	0.46	5	1.2163
2	0.93	4	2.4732
2	0.67	6	2.1151
25	0.34	4	1.001
16	0.05	4	1.8124
19	0.91	6	1.1908
22	0.49	5	0.9472
1	0.01	3	3.9836
21	0.43	6	0.8031
5	0.87	4	1.4719
25	0.35	6	0.7094
20	0.75	4	1.3907
